Onsite
Registration Fees,$4385692.17
Licensing and Permits,$9139592.65
Capital Inventory,$3107623.33
Deposits,$17221952.69
Property Investment,$568404447.71
Equipment Investment,$29532696.67
Utility Fees,$2326750.21
Salaries,$29274490.53
Rent,$22990976.69
Mortgage,$70489340.14
Telecommunication,$126350563.70
Utilities,$89949154.72
Raw Materials,$90154748.90
Storage,$144808441.67
Distribution,$11875800.84
Promotion,$79797091.20
Loan Payments,$961443835.27
Office Supplies,$1884000.56
Maintenance,$147735754.05

Remote
Registration Fees,$810478616.33
Licensing and Permits,$8255895.85
Capital Inventory,$152227629.81
Deposits,$54566409.28
Property Investment,$3283645.24
Equipment Investment,$539972223.39
Utility Fees,$3825108.64
Salaries,$110068776.89
Rent,$1683479.92
Mortgage,$413038689.99
Telecommunication,$586691772.96
Utilities,$111393183.19
Raw Materials,$27287609.72
Storage,$15648517.94
Distribution,$5260977.15
Promotion,$12108591.90
Loan Payments,$135296212.45
Office Supplies,$248242324.45
Maintenance,$2954892.64

Outsourced
Registration Fees,$9138711.03
Licensing and Permits,$4172393.84
Capital Inventory,$148591418.33
Deposits,$1061530.08
Property Investment,$3140784.10
Equipment Investment,$191899268.41
Utility Fees,$3059169.09
Salaries,$15047464.54
Rent,$2964546.48
Mortgage,$2610721.63
Telecommunication,$5764679.37
Utilities,$54897839.36
Raw Materials,$3721265.33
Storage,$33459670.30
Distribution,$7521024.18
Promotion,$12518497.74
Loan Payments,$725029917.64
Office Supplies,$383757637.12
Maintenance,$329240940.57

Deductible
Registration Fees,$337180650.47
Licensing and Permits,$824716196.46
Capital Inventory,$1096860.31
Deposits,$565403911.64
Property Investment,$601430150.28
Equipment Investment,$683827835.42
Utility Fees,$1877778.46
Salaries,$295905193.11
Rent,$1179307.47
Mortgage,$668631825.77
Telecommunication,$217101479.95
Utilities,$161548600.21
Raw Materials,$1505503.94
Storage,$8154540.57
Distribution,$280613740.36
Promotion,$692277411.30
Loan Payments,$1672786.53
Office Supplies,$115070449.36
Maintenance,$12391712.76

