Onsite
Registration Fees,$1547656.53
Licensing and Permits,$10065435.74
Capital Inventory,$4934858.91
Deposits,$4146733.78
Property Investment,$3182611.38
Equipment Investment,$243515730.31
Utility Fees,$104176495.50
Salaries,$4784058.02
Rent,$30379773.48
Mortgage,$54478629.38
Telecommunication,$174696546.85
Utilities,$202740205.84
Raw Materials,$350719633.43
Storage,$408765412.48
Distribution,$31251150.61
Promotion,$69446251.02
Loan Payments,$26078351.30
Office Supplies,$22583089.30
Maintenance,$3247949.13

Remote
Registration Fees,$3015018.93
Licensing and Permits,$166127633.73
Capital Inventory,$12158087.75
Deposits,$56384577.97
Property Investment,$62535791.44
Equipment Investment,$19588916.73
Utility Fees,$89693455.13
Salaries,$147652606.23
Rent,$1843960.54
Mortgage,$420179291.14
Telecommunication,$1016198.50
Utilities,$154775243.36
Raw Materials,$45662964.71
Storage,$749613939.46
Distribution,$21812247.48
Promotion,$647376703.44
Loan Payments,$334083347.38
Office Supplies,$23468325.99
Maintenance,$1991185.98

Outsourced
Registration Fees,$110278657.01
Licensing and Permits,$3515117.46
Capital Inventory,$624328488.65
Deposits,$7378989.07
Property Investment,$1500772.17
Equipment Investment,$2101034.82
Utility Fees,$144218883.34
Salaries,$794003988.61
Rent,$3884558.28
Mortgage,$225222793.94
Telecommunication,$9666410.23
Utilities,$9880880.22
Raw Materials,$161087525.11
Storage,$3974130.73
Distribution,$228064824.74
Promotion,$272596759.55
Loan Payments,$14378947.49
Office Supplies,$56773165.49
Maintenance,$121620196.71

Deductible
Registration Fees,$615044323.95
Licensing and Permits,$81179360.21
Capital Inventory,$29329815.66
Deposits,$104737639.95
Property Investment,$80129156.56
Equipment Investment,$270791578.56
Utility Fees,$2170875.53
Salaries,$260084251.88
Rent,$27847978.36
Mortgage,$13576605.95
Telecommunication,$138263635.91
Utilities,$6442860.19
Raw Materials,$14154661.77
Storage,$62162960.58
Distribution,$4251325.72
Promotion,$126488700.18
Loan Payments,$5779344.04
Office Supplies,$86375579.34
Maintenance,$43546185.72

